Orden,Suborden,Propiedad,Denominacion,NaturalezaJuridica,Uso,Destino,Superficie,ReferenciaCatastral,Tipo
344,-,1392,E.L.D.U.P. 6,Dominio Público,Uso Público,Vías Públicas Urbanas,7501.56 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA(SEPES)
345,-,1393,E.L.D.U.P. 7,Dominio Público,Uso Público,Vías Públicas Urbanas,4867.97 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA(SEPES)
346,-,1394,E.L.D.U.P. 8,Dominio Público,Uso Público,Vías Públicas Urbanas,8605.23 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA(SEPES)
347,-,1395,E.L.D.U.P. 9,Dominio Público,Uso Público,Vías Públicas Urbanas,1475.73 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA(SEPES)
348,-,1396,E.L.D.U.P. 10,Dominio Público,Uso Público,Vías Públicas Urbanas,1661.74 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA (SEPES)
349,-,1397,E.L.D.U.P. 11,Dominio Público,Uso Público,Vías Públicas Urbanas,1476.31 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA (SEPES)
350,-,1398,E.L.D.U.P. 12,Dominio Público,Uso Público,Vías Públicas Urbanas,6372.76 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA (SEPES)
351,-,1399,E.L.D.U.P. 13,Dominio Público,Uso Público,Vías Públicas Urbanas,1451.07 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA (SEPES)
352,-,1400,CALLE 1 NORTE,Dominio Público,Uso Público,Vías Públicas Urbanas,3333.87 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA (SEPES)
353,-,1401,CALLE 1 SUR,Dominio Público,Uso Público,Vías Públicas Urbanas,3071.98 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA (SEPES)
354,-,1402,CALLE 2,Dominio Público,Uso Público,Vías Públicas Urbanas,7008.49 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA(SEPES)
355,-,1403,CALLE L.E.,Dominio Público,Uso Público,Vías Públicas Urbanas,84.55 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA(SEPES)
356,-,1404,CALLE 4,Dominio Público,Uso Público,Vías Públicas Urbanas,4530.29 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA(SEPES)
357,-,1405,CALLE 5 OESTE,Dominio Público,Uso Público,Vías Públicas Urbanas,2676.15 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA(SEPES)
358,-,1406,CALLE 5 PASO SUPERIOR,Dominio Público,Uso Público,Vías Públicas Urbanas,1605.8 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA(SEPES)
359,-,1407,CALLE 6,Dominio Público,Uso Público,Vías Públicas Urbanas,4580.23 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA(SEPES)
360,-,1408,CALLE 8 NORTE,Dominio Público,Uso Público,Vías Públicas Urbanas,3200.17 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA (SEPES)
361,-,1409,CALLE 8 SUR,Dominio Público,Uso Público,Vías Públicas Urbanas,2688.96 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA (SEPES)
362,-,1410,CALLE 11,Dominio Público,Uso Público,Vías Públicas Urbanas,5885.65 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA (SEPES)
363,-,1411,RAMAL 1,Dominio Público,Uso Público,Vías Públicas Urbanas,1560.0 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA (SEPES)
364,-,1412,RAMAL 2,Dominio Público,Uso Público,Vías Públicas Urbanas,1456.73 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA (SEPES)
365,-,1413,RAMAL 3,Dominio Público,Uso Público,Vías Públicas Urbanas,1465.2 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA (SEPES)
366,-,1414,RAMAL 4,Dominio Público,Uso Público,Vías Públicas Urbanas,1314.69 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA(SEPES)
367,-,1415,ROTONDA ESTE,Dominio Público,Uso Público,Vías Públicas Urbanas,2397.97 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA(SEPES)
368,-,1416,ROTONDA OESTE,Dominio Público,Uso Público,Vías Públicas Urbanas,2343.12 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 1ª ETAPA(SEPES)
369,-,1417,URBANA CT-1,Dominio Público,Uso Público,Infraestructuras Alumbrado,38.05 m2,5412221WK7351C0001GB,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 2º ETAPA(SEPES)
370,-,1418,URBANA CT-2,Dominio Público,Uso Público,Infraestructuras Alumbrado,37.8 m2,5410602WK7351A0001LW,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 2º ETAPA (SEPES)
371,-,1419,URBANA CT-3,Dominio Público,Uso Público,Infraestructuras Alumbrado,38.15 m2,5510113WK7351B0001JA,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 2º ETAPA (SEPES)
372,-,1420,URBANA CT-4,Dominio Público,Uso Público,Infraestructuras Alumbrado,38.12 m2,5609607WK7350H0001SW,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 2º ETAPA (SEPES)
373,-,1421,URBANA CT-5,Dominio Público,Uso Público,Infraestructuras Alumbrado,37.67 m2,6013811WK7361C0001EQ,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 2º ETAPA (SEPES)
374,-,1422,URBANA CT-6,Dominio Público,Uso Público,Infraestructuras Alumbrado,37.67 m2,6011122WK7361A0001FY,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 2º ETAPA (SEPES)
375,-,1423,EQUIPAMIENTO DEPORTIVO,Dominio Público,Servicio Público,Otros,9473.3 m2,5412226WK7351C0001FB,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 2º ETAPA (SEPES)
376,-,1424,EQUIPAMIENTO DEPORTIVO,Dominio Público,Servicio Público,Otros,5098.84 m2,6011106WK7361A0001HY,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 2º ETAPA(SEPES)
377,-,1425,URBANA ELDUP-1,Dominio Público,Uso Público,Vías Públicas Urbanas,3238.12 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 2º ETAPA(SEPES)
378,-,1426,URBANA ELDUP-2,Dominio Público,Uso Público,Vías Públicas Urbanas,16804.76 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 2º ETAPA(SEPES)
379,-,1427,URBANA ELDUP-3,Dominio Público,Uso Público,Vías Públicas Urbanas,58772.73 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 2º ETAPA(SEPES)
380,-,1428,URBANA ELDUP-4,Dominio Público,Uso Público,Vías Públicas Urbanas,25948.33 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 2º ETAPA(SEPES)
381,-,1429,URBANA ELDUP-5,Dominio Público,Uso Público,Vías Públicas Urbanas,766.72 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 2º ETAPA(SEPES)
382,-,1430,URBANA ELDUP-6,Dominio Público,Uso Público,Vías Públicas Urbanas,765.36 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 2º ETAPA (SEPES)
383,-,1431,URBANA ELDUP-7,Dominio Público,Uso Público,Vías Públicas Urbanas,831.16 m2,SIN REF. CATASTRAL,P.P. DE ORDENACION DEL AREA A-3 'CARRETERA DE MOTILLA 2º ETAPA (SEPES)
384,-,1443,PARCELA VP 1,Patrimonio municipal del suelo,Patrimonio municipal del suelo,Residencial Vivienda protegida,1488.0 m2,3352009WK7335A0001YH,PROYECTO DE REPARCELACION DE LA U.E. Nº 19 'MATADERO'
385,-,1444,PARCELA EL,Desconocido,Desconocido,Parques y Jardines,197.0 m2,3352013WK7335A0000FG::3352016WK7335A0001LH::3352017WK7335A0001TH::3352018WK7335A0001FH::3352019WK7335A0001MH::3352020WK7335A0001TH,DESCONOCIDO
386,-,1445,PARCELA VL,Dominio Público,Uso Público,Vías Públicas Urbanas,10993.0 m2,SIN REF. CATASTRAL,PROYECTO DE REPARCELACION DE LA U.E. Nº 19 'MATADERO'
387,-,1446,VIALES,Dominio Público,Uso Público,Vías Públicas Urbanas,12005.0 m2,SIN REF. CATASTRAL,PROYECTO DE REPARCELACION DE LA U.E. Nº 24 'CERRO DE LOS BARREROS'
388,-,1447,ZONA VERDE,Dominio Público,Uso Público,Parques y Jardines,7891.0 m2,0668465WK7316E0001ZG,PROYECTO DE REPARCELACION DE LA U.E. Nº 24 'CERRO DE LOS BARREROS'
389,-,1448,MANZANA 11,Dominio Público,Servicio Público,Otros,18625.91 m2,2746901WK7324N0001WB,PROYECTO DE REPARCELACION SECTRO 4.2 'CERRO DE LA HORCA II'
390,-,1449,ZV-1,Dominio Público,Uso Público,Parques y Jardines,18298.31 m2,3050901WK7335S0001UE,PROYECTO DE REPARCELACION SECTRO 4.2 'CERRO DE LA HORCA II'
391,-,1450,QG-103,Dominio Público,Servicio Público,Otros,31298.92 m2,2945301WK7324N0001EB,PROYECTO DE REPARCELACION SECTRO 4.2 'CERRO DE LA HORCA II'
392,-,1451,QG-106,Dominio Público,Servicio Público,Otros,10492.57 m2,2744701WK7324S0001UT,PROYECTO DE REPARCELACION SECTRO 4.2 'CERRO DE LA HORCA II'
393,-,1452,RED VIARIA: SISTEMAS LOCALES,Dominio Público,Uso Público,Vías Públicas Urbanas,42411.68 m2,SIN REF. CATASTRAL,PROYECTO DE REPARCELACION SECTRO 4.2 'CERRO DE LA HORCA II'
394,-,1453,RED VIARIA: SISTEMAS GENERALES,Dominio Público,Uso Público,Vías Públicas Urbanas,21027.99 m2,SIN REF. CATASTRAL,PROYECTO DE REPARCELACION SECTRO 4.2 'CERRO DE LA HORCA II'
395,-,1454,FINCA 'ERC-VPP 7-2',Patrimonio municipal del suelo,Patrimonio municipal del suelo,Residencial VPP,6608.57 m2,16900A067001150000ZL,VILLA ROMAN IV
396,-,1455,FINCA OD-1,Dominio Público,Servicio Público,Otros,1532.08 m2,16900A067001160000ZT,VILLA ROMAN IV
397,-,1456,FINCA OD-2,Dominio Público,Servicio Público,Otros,16512.58 m2,16900A067000760000ZA,VILLA ROMAN IV
398,-,1457,FINCA OD-3,Dominio Público,Servicio Público,Otros,10451.18 m2,16900A067001030000ZU,VILLA ROMAN IV
399,-,1458,FINCA OD-D1,Dominio Público,Servicio Público,Otros,11529.9 m2,16900A067001020000ZZ,VILLA ROMAN IV
400,-,1459,FINCA OD-D-2,Dominio Público,Servicio Público,Otros,12987.43 m2,16900A067001310000ZJ,VILLA ROMAN IV
401,-,1460,FINCA OD-D-3,Dominio Público,Servicio Público,Otros,6918.84 m2,16900A067001290000ZE,VILLA ROMAN IV
402,-,1461,FINCA OD-D-4,Dominio Público,Servicio Público,Otros,3414.56 m2,16900A067000710000ZS,VILLA ROMAN IV
403,-,1462,FINCA OD-D-5,Dominio Público,Servicio Público,Otros,4328.5 m2,16900A067000720000ZZ,VILLA ROMAN IV
404,-,1463,FINCA SGEL-1,Dominio Público,Uso Público,Vías Públicas Urbanas,3780.06 m2,16900A067000680000ZS,VILLA ROMAN IV
405,-,1464,FINCA SGEL-4,Dominio Público,Uso Público,Vías Públicas Urbanas,36136.74 m2,16900A067000740000ZH,VILLA ROMAN IV
406,-,1465,FINCA SGEL-5,Dominio Público,Uso Público,Vías Públicas Urbanas,29560.69 m2,16900A067000740000ZH,VILLA ROMAN IV
407,-,1466,FINCA SGEL-6,Dominio Público,Uso Público,Vías Públicas Urbanas,34025.33 m2,16900A067000740000ZH,VILLA ROMAN IV
408,-,1467,FINCA SGEL-7,Dominio Público,Uso Público,Vías Públicas Urbanas,18002.82 m2,16900A067001320000ZE,VILLA ROMAN IV
409,-,1468,FINCA SGV-1,Dominio Público,Uso Público,Vías Públicas Urbanas,7200.31 m2,16900A067000870000ZF,VILLA ROMAN IV
410,-,1469,FINCA SGV-2,Dominio Público,Uso Público,Vías Públicas Urbanas,9172.02 m2,16900A067000870000ZF,VILLA ROMAN IV
411,-,1470,FINCA SGE-B,Dominio Público,Uso Público,Vías Públicas Urbanas,885.78 m2,16900A067000750000ZW,VILLA ROMAN IV
412,-,1471,SIS. LOCALES DE VIALES Y APARCAM. F.63,Dominio Público,Uso Público,Vías Públicas Urbanas,149308.79 m2,16900A067000870000ZF,VILLA ROMAN IV
413,-,1472,FINCA ZV-1,Dominio Público,Uso Público,Parques y Jardines,51582.13 m2,16900A067000750000ZW,VILLA ROMAN IV
414,-,1473,FINCA ZV-2,Dominio Público,Uso Público,Parques y Jardines,14268.66 m2,16900A067000900000ZF,VILLA ROMAN IV
415,-,1474,FINCA ZV-3,Dominio Público,Uso Público,Parques y Jardines,5098.44 m2,16900A067001010000ZS,VILLA ROMAN IV
416,-,1475,FINCA ZV-4,Dominio Público,Uso Público,Parques y Jardines,6520.1 m2,16900A067001060000ZA,VILLA ROMAN IV
417,-,1476,FINCA ZV-5,Dominio Público,Uso Público,Parques y Jardines,5113.97 m2,16900A067001110000ZY,VILLA ROMAN IV
418,-,1477,FINCA ZV-6,Dominio Público,Uso Público,Parques y Jardines,5113.68 m2,16900A067001230000ZK,VILLA ROMAN IV
419,-,1478,FINCA ZV-7,Dominio Público,Uso Público,Parques y Jardines,3045.73 m2,16900A067001300000ZI,VILLA ROMAN IV
420,-,1480,PARCELA 5007 POLÍGONO 505,Patrimonial,Patrimoniales,Parcelas Rústicas,60.0 m2,16900C505050070000IW,LA MELGOSA
421,-,1481,PARCELA 5009 POLÍGONO 505,Patrimonial,Patrimoniales,Parcelas Rústicas,116.0 m2,16900C505050090000IB,LA MELGOSA
422,-,1482,PARCELA 5011 POLÍGONO 505,Patrimonial,Patrimoniales,Parcelas Rústicas,3298.0 m2,16900C505050110000IA,LA MELGOSA
423,-,1483,PARCELA 5015 POLÍGONO 505,Patrimonial,Patrimoniales,Parcelas Rústicas,977.0 m2,16900C505050150000IQ,LA MELGOSA
424,-,1484,PARCELA 5010 POLÍGONO 519,Patrimonial,Patrimoniales,Parcelas Rústicas,5519.0 m2,16900B519050100000FY,CÓLLIGA
425,-,1485,PARCELA URBANA,Patrimonial,Patrimoniales,Locales,1072.0 m2,16900B501052970000FA,CÓLLIGA
426,-,1486,SOLAR  URBANO,Patrimonial,Patrimoniales,Solares,692.52 m2,SIN REF. CATASTRAL,CÓLLIGA
427,-,1487,INMUEBLE,Patrimonial,Patrimoniales,Solares,545.0 m2,3232001WK6333S0001PE,CÓLLIGA
428,-,1488,INMUEBLE ANTES POL. 507 PARC. 5009,Patrimonial,Patrimoniales,Solares,2000.0 m2,3232002WK6333S0001LE,CÓLLIGA
429,-,1504,FRANJA DE TERRENO RÚSTICO PROCEDENTE DE LA  PARCELA. 5074 DEL POLÍGONO 509,Dominio Público,Uso Público,Infraestructuras Alumbrado,170.0 m2,16900B509050740000FH,CÓLLIGA
430,-,1505,FRANJA DE TERRENO RÚSTICO PROCEDENTE DE LA  PARCELA. 5073 DEL POLÍGONO 509,Dominio Público,Uso Público,Infraestructuras Alumbrado,231.0 m2,16900B509050730000FU,CÓLLIGA
431,-,1506,FRANJA DE TERRENO RÚSTICO PROCEDENTE DE LA  PARCELA. 5072 DEL POLÍGONO 509,Dominio Público,Uso Público,Infraestructuras Alumbrado,204.0 m2,16900B509050720000FZ,CÓLLIGA
432,-,1507,FRANJA DE TERRENO RÚSTICO PROCEDENTE DE LA  PARCELA. 5071 DEL POLÍGONO 509,Dominio Público,Uso Público,Infraestructuras Alumbrado,7.0 m2,16900B509050710000FS,CÓLLIGA
433,-,1508,FRANJA DE TERRENO RÚSTICO PROCEDENTE DE LA  PARCELA. 5063 DEL POLÍGONO 509,Dominio Público,Uso Público,Infraestructuras Alumbrado,101.0 m2,16900B509050630000FD,CÓLLIGA
434,-,1728,PUENTE DE 'EL CHANTRE',Dominio Público,Uso Público,Puentes,332.6 m2,16900A004090030000ZJ,CUENCA
435,-,1494,FINCA Nº 13 PARCELA QL-N,Dominio Público,Servicio Público,Otros,2215.0 m2,16900A509010210000BX,NOHALES
436,-,1495,FINCA Nº 14 PARCELA ZV,Dominio Público,Uso Público,Parques y Jardines,2371.0 m2,16900A509010220000BI,NOHALES
437,-,1496,FINCA Nº 15 PARCELA VL-N,Dominio Público,Uso Público,Vías Públicas Urbanas,5978.91 m2,16900A509010230000BJ,NOHALES
438,-,1497,FINCA Nº 16 PARCELA SG-ZV,Dominio Público,Uso Público,Parques y Jardines,1140.0 m2,16900A509000030000BQ,NOHALES
439,-,1498,FINCA Nº 17 PARCELA SG-V,Dominio Público,Uso Público,Vías Públicas Urbanas,1573.0 m2,SIN REF. CATASTRAL,NOHALES
440,-,1672,FINCA E.E. 15 B,Patrimonial,Patrimoniales,Solares,3000.0 m2,4345116WK7344E0001HH,PERI 8 CTRA. VALENCIA ANTIGUO PERI RI-1 VILLA LUZ
441,-,1510,INMUEBLE C/ TONDOS (SAN LÁZARO D). Nº 17,Patrimonial,Patrimoniales,Solares,27.0 m2,3771205WK7337B0001AD,BARRIO SAN ANTON PROYECTO DEMOLICION EDIFICIOS EN RUINAS
442,-,1511,INMUEBLE C/ TONDOS (SAN LÁZARO D) Nº 21,Patrimonial,Patrimoniales,Solares,17.0 m2,3771203WK7337B0001HD,BARRIO SAN ANTON PROYECTO DEMOLICION EDIFICIOS EN RUINAS
443,-,1674,FINCA E.E. 15 C SUBPARCELA 1,Patrimonial,Patrimoniales,Solares,1485.0 m2,4345102WK7344E0001OH,PERI 8 CTRA. VALENCIA ANTIGUO PERI RI-1 VILLA LUZ
444,-,1513,INMUEBLE C/ VALDECABRAS (SAN LÁZARO E) Nº 15,Patrimonial,Patrimoniales,Solares,61.0 m2,3771102WK7337B0001ED,BARRIO SAN ANTON PROYECTO DEMOLICION EDIFICIOS EN RUINAS
445,-,1675,FINCA E.E. 15 C SUBPARCELA 2,Patrimonial,Patrimoniales,Solares,1233.64 m2,4345110WK7344E0001IH,PERI 8 CTRA. VALENCIA ANTIGUO PERI RI-1 VILLA LUZ
446,-,1666,PARCELA CT-1,Dominio Público,Uso Público,Infraestructuras Alumbrado,40.0 m2,0668451WK7316C0001FB,PROYECTO REPARCELACIÓN DE LA UE 23 'LOS BARREROS'
447,-,1667,PARCELA CT-2,Dominio Público,Uso Público,Infraestructuras Alumbrado,40.0 m2,0668459WK7316C0001JB,PROYECTO REPARCELACIÓN DE LA UE 23 'LOS BARREROS'
448,-,1668,PARCELA VL-1A,Dominio Público,Uso Público,Vías Públicas Urbanas,1360.0 m2,0668454WK7316C0001KB,PROYECTO REPARCELACIÓN DE LA UE 23 'LOS BARREROS'
449,-,1669,PARCELA VL-1B,Dominio Público,Uso Público,Vías Públicas Urbanas,1329.0 m2,0668455WK7316C0001RB,PROYECTO REPARCELACIÓN DE LA UE 23 'LOS BARREROS'
450,-,1670,PARCELA EL-3,Dominio Público,Uso Público,Vías Públicas Urbanas,7935.0 m2,0668456WK7316C0001DB,PROYECTO REPARCELACIÓN DE LA UE 23 'LOS BARREROS'
451,-,1689,RED VIARIA LOCAL VL-181 Y VL-182,Dominio Público,Uso Público,Vías Públicas Urbanas,4819.94 m2,SIN REF. CATASTRAL,PROYECTO DE REPARCELACIÓN DE LA UE-2 'CERRO DE LOS BARREROS III'
452,-,1690,PARCELA EL-79,Dominio Público,Uso Público,Parques y Jardines,1965.44 m2,1763802WK7316D0001EY,PROYECTO DE REPARCELACIÓN DE LA UE-2 'CERRO DE LOS BARREROS III'
453,-,1691,PARCELA EL-C (TERRENO PROTECCIÓN COLECTOR),Dominio Público,Servicio Público,Espacio de equipamiento,165.81 m2,1564303WK7316A0001DW,PROYECTO DE REPARCELACIÓN DE LA UE-2 'CERRO DE LOS BARREROS III'
454,-,1692,PARCELA QL-71,Dominio Público,Servicio Público,Espacio de equipamiento,2348.67 m2,1564305WK7316A0001IW,PROYECTO DE REPARCELACIÓN DE LA UE-2 'CERRO DE LOS BARREROS III'
455,-,1693,CENTRO TRANSFORMACIÓN CT,Dominio Público,Servicio Público,Equipamiento para suministro eléctrico,10.0 m2,1564204WK7316D0001KY,PROYECTO DE REPARCELACIÓN DE LA UE-2 'CERRO DE LOS BARREROS III'
456,-,1677,PARCELA ZV-1.B,Dominio Público,Uso Público,Parques y Jardines,780.82 m2,3064004WK7060N0001UX,PROYECTO DE REPARCELACIÓN DE LA UE 'PERI-10 BUENAVISTA'
457,-,1678,PARCELA ZV-1.C,Dominio Público,Uso Público,Parques y Jardines,904.23 m2,3064002WK7060N0001SX,PROYECTO DE REPARCELACIÓN DE LA UE 'PERI-10 BUENAVISTA'
458,-,1679,PARCELA ZV-2,Dominio Público,Uso Público,Parques y Jardines,98.16 m2,3063001WK7060N0001ZX,PROYECTO DE REPARCELACIÓN DE LA UE 'PERI-10 BUENAVISTA'
459,-,1680,PARCELA ZV-3,Dominio Público,Uso Público,Parques y Jardines,70.25 m2,3063103WK7060N0001BX,PROYECTO DE REPARCELACIÓN DE LA UE 'PERI-10 BUENAVISTA'
460,-,1681,PARCELA ZV-4,Dominio Público,Uso Público,Parques y Jardines,70.25 m2,3063201WK7060N0001YX,PROYECTO DE REPARCELACIÓN DE LA UE 'PERI-10 BUENAVISTA'
461,-,1682,PARCELA ZV-5,Dominio Público,Uso Público,Parques y Jardines,50.97 m2,3063301WK7060N0001PX,PROYECTO DE REPARCELACIÓN DE LA UE 'PERI-10 BUENAVISTA'
462,-,1683,PARCELA ZV-6,Dominio Público,Uso Público,Parques y Jardines,160.83 m2,3063303WK7060N0001TX,PROYECTO DE REPARCELACIÓN DE LA UE 'PERI-10 BUENAVISTA'
463,-,1684,PARCELA ZV-7,Dominio Público,Uso Público,Parques y Jardines,154.98 m2,3063205WK7060N0001LX,PROYECTO DE REPARCELACIÓN DE LA UE 'PERI-10 BUENAVISTA'
464,-,1685,PARCELA ZV-8,Dominio Público,Uso Público,Parques y Jardines,166.29 m2,3063104WK7060N0001YX,PROYECTO DE REPARCELACIÓN DE LA UE 'PERI-10 BUENAVISTA'
465,-,1686,PARCELA ZV-9,Dominio Público,Uso Público,Parques y Jardines,380.26 m2,3063003WK7060N0001HX,PROYECTO DE REPARCELACIÓN DE LA UE 'PERI-10 BUENAVISTA'
466,-,1687,PARCELA ED-CD,Dominio Público,Uso Público,Equipamiento Dotacional,2190.45 m2,3064003WK7060N0001ZX,PROYECTO DE REPARCELACIÓN DE LA UE 'PERI-10 BUENAVISTA'
467,-,1694,PARCELA ZV-1,Dominio Público,Uso Público,Parques y Jardines,2120.0 m2,3259901WK7335G0001DQ,PROYECTO DE REPARCELACIÓN FORZOSA UE-37 'HUERTAS DE LA ALAMEDA'
468,-,1695,PARCELA ZV-2,Dominio Público,Uso Público,Parques y Jardines,595.16 m2,3359301WK7335G0001RQ,PROYECTO DE REPARCELACIÓN FORZOSA UE-37 'HUERTAS DE LA ALAMEDA'
469,-,1696,PARCELA ZV-3,Dominio Público,Uso Público,Parques y Jardines,1472.24 m2,3161534WK7335G0001OQ,PROYECTO DE REPARCELACIÓN FORZOSA UE-37 'HUERTAS DE LA ALAMEDA'
470,-,1730,FINCA VL-179,Dominio Público,Uso Público,Vías Públicas Urbanas,1941.0 m2,4357008WK7345E0001SP,PAU DE LA UNIDAD DE EJECUCIÓN Nº 11 'CAMINO CAÑETE'
471,-,1731,FINCA QL-UE-11,Dominio Público,Servicio Público,Otros,1086.0 m2,4357006WK7345E0001JP,PAU DE LA UNIDAD DE EJECUCIÓN Nº 11 'CAMINO CAÑETE'
472,-,1732,FINCA EL-21,Dominio Público,Uso Público,Vías Públicas Urbanas,902.0 m2,4357005WK7345E0001IP,PAU DE LA UNIDAD DE EJECUCIÓN Nº 11 'CAMINO CAÑETE'
473,-,1733,FINCA EL-21-BIS,Desconocido,Uso Público,Vías Públicas Urbanas,78.0 m2,4357007WK7345E0001EP,PAU DE LA UNIDAD DE EJECUCIÓN Nº 11 'CAMINO CAÑETE'
474,-,1742,EDIFICIO EN CALLE LUIS ASTRANA MARÍN. Nº 4 (COMISARÍA),Patrimonial,Patrimoniales,Locales,1937.69 m2,3463004WK7336C0001HT,DESCONOCIDO
500,-,136,LOS PALANCARES Y AGREGADOS. Nº 106 DE U.P.,Dominio Público,Montes U.P.,Montes Utilidad Pública,5.227E7 m2,16900A109000010000UY entre otras::Z00300400WK83A0001SX::Z00300500WK83A0001ZX::Z00300600WK83A0001UX::Z00300700WK83A0001HX::Z00300800WK83A0001WX::Z00300900WK83B0001AI::Z00301000WK83B0001HI,DESCONOCIDO
501,-,137,EL CADORZO Y LOS LLECOS. Nº 107 DE U.P.,Dominio Público,Montes U.P.,Montes Utilidad Pública,1.138E7 m2,16900A113000010000UZ entre otras,MONTES
502,-,138,CERRO GORDO. Nº 108 DE U.P.,Dominio Público,Montes U.P.,Montes Utilidad Pública,2.224E7 m2,16900A088000010000ZE entre otras,MONTES
503,-,139,ENSANCHE DE BUENACHE. Nº 109 DE U.P.,Dominio Público,Montes U.P.,Montes Utilidad Pública,4.4493E7 m2,16900A106000480000UM entre otras,MONTES
504,-,140,EL ENTREDICHO. Nº 110 DE U.P.,Dominio Público,Montes U.P.,Montes Utilidad Pública,4930000.0 m2,16900A104000010000UM entre otras,MONTES
505,-,141,FUENCALIENTE. Nº 111 DE U.P.,Dominio Público,Montes U.P.,Montes Utilidad Pública,1.028E7 m2,16900A106000010000UU entre otras,MONTES
506,-,142,GARCIELLIGEROS. Nº 112 DE U.P.,Dominio Público,Montes U.P.,Montes Utilidad Pública,4930000.0 m2,16900A100000010000UO,MONTES
